jpncore1#  show ip bgp
BGP routing table information for VRF default
Router identifier 10.30.95.1, local AS number 65200
Route status codes: s - suppressed, * - valid, > - active, E - ECMP head, e - ECMP
                    S - Stale
Origin codes: i - IGP, e - EGP, ? - incomplete
AS Path Attributes: Or-ID - Originator ID, C-LST - Cluster List, LL Nexthop - Link Local Nexthop

      Network             Next Hop         Metric  LocPref Weight Path
 * >  10.30.32.0/20       10.30.47.1       0       100     0      ?
 *    10.30.32.0/20       10.30.47.1       0       100     0      ? Or-ID: 10.30.47.254 C-LST: 10.30.31.3
 * >  10.30.48.0/20       10.30.63.1       0       100     0      ? Or-ID: 10.30.63.1 C-LST: 10.30.31.3
 *    10.30.48.0/20       10.30.63.1       0       100     0      ? Or-ID: 10.30.63.1 C-LST: 10.30.47.254
 * >  10.30.64.0/20       10.30.79.1       0       100     0      ? Or-ID: 10.30.79.1 C-LST: 10.30.31.3
 *    10.30.64.0/20       10.30.79.1       0       100     0      ? Or-ID: 10.30.79.1 C-LST: 10.30.47.254
 * >  10.30.80.0/20       -                0       0       -      ?
 * >  10.30.128.0/18      10.30.31.5       0       100     0      i Or-ID: 10.30.31.5 C-LST: 10.30.31.3
 *    10.30.128.0/18      10.30.31.5       0       100     0      i Or-ID: 10.30.31.5 C-LST: 10.30.47.254
 * >  10.30.128.0/20      10.30.94.34      0       1000    0      65202 i Or-ID: 10.30.95.2 C-LST: 10.30.31.3
 *    10.30.128.0/20      10.30.94.34      0       1000    0      65202 i Or-ID: 10.30.95.2 C-LST: 10.30.47.254
 * >  10.30.144.0/20      10.30.94.34      0       1000    0      65202 ? Or-ID: 10.30.95.2 C-LST: 10.30.31.3
 *    10.30.144.0/20      10.30.94.34      0       1000    0      65202 ? Or-ID: 10.30.95.2 C-LST: 10.30.47.254
 *    10.30.144.0/20      10.30.94.38      0       1000    0      65201 65202 ?
 * >  10.30.208.0/20      10.30.94.38      0       1000    0      65201 ?
 * >  10.31.0.0/20        10.31.14.9       0       1000    0      65203 ? Or-ID: 10.30.31.6 C-LST: 10.30.31.3
 *    10.31.0.0/20        10.31.14.9       0       1000    0      65203 ? Or-ID: 10.30.31.6 C-LST: 10.30.47.254
 * >  10.31.64.0/20       10.31.78.9       0       1000    0      65204 ? Or-ID: 10.30.31.6 C-LST: 10.30.31.3
 *    10.31.64.0/20       10.31.78.9       0       1000    0      65204 ? Or-ID: 10.30.31.6 C-LST: 10.30.47.254
 * >  10.31.80.0/20       10.31.78.9       0       1000    0      65204 ? Or-ID: 10.30.31.6 C-LST: 10.30.31.3
 *    10.31.80.0/20       10.31.78.9       0       1000    0      65204 ? Or-ID: 10.30.31.6 C-LST: 10.30.47.254
 * >  10.31.128.0/20      10.30.94.34      0       1000    0      65202 65205 ? Or-ID: 10.30.95.2 C-LST: 10.30.31.3
 *    10.31.128.0/20      10.30.94.34      0       1000    0      65202 65205 ? Or-ID: 10.30.95.2 C-LST: 10.30.47.254
 *    10.31.128.0/20      10.30.94.38      0       1000    0      65201 65202 65205 ?
 * >  10.103.128.192/27   10.30.63.1       0       100     0      ? Or-ID: 10.30.63.1 C-LST: 10.30.31.3
 *    10.103.128.192/27   10.30.63.1       0       100     0      ? Or-ID: 10.30.63.1 C-LST: 10.30.47.254
 * >  10.134.0.0/20       10.134.17.49     0       1000    0      65429 i Or-ID: 10.30.63.1 C-LST: 10.30.31.3
