 O      10.30.63.1/32 [110/2130] via 10.30.94.29, Vlan216
 O      10.30.63.2/32 [110/2230] via 10.30.94.29, Vlan216
 O      10.30.63.254/32 [110/2130] via 10.30.94.29, Vlan216
 B I    10.30.48.0/20 [200/0] via 10.30.94.29, Vlan216
 B I    10.30.0.0/18 [200/0] via 10.30.94.29, Vlan216
 O      10.30.64.0/24 [110/1110] via 10.30.94.29, Vlan216
 O      10.30.65.0/24 [110/1110] via 10.30.94.29, Vlan216
 O      10.30.66.0/24 [110/1110] via 10.30.94.29, Vlan216
 O      10.30.76.0/24 [110/1110] via 10.30.94.29, Vlan216
 O      10.30.78.0/30 [110/1110] via 10.30.94.29, Vlan216
 O      10.30.78.4/30 [110/1120] via 10.30.94.29, Vlan216
 O      10.30.78.8/30 [110/1020] via 10.30.94.29, Vlan216
 O      10.30.78.12/30 [110/1120] via 10.30.94.29, Vlan216
 O      10.30.78.16/30 [110/1020] via 10.30.94.29, Vlan216
 O      10.30.79.1/32 [110/1020] via 10.30.94.29, Vlan216
 O      10.30.79.2/32 [110/1120] via 10.30.94.29, Vlan216
 O      10.30.79.5/32 [110/1121] via 10.30.94.29, Vlan216
 O      10.30.79.254/32 [110/1020] via 10.30.94.29, Vlan216
 B I    10.30.64.0/20 [200/0] via 10.30.94.29, Vlan216
 C      10.30.80.0/24 is directly connected, Vlan110
 C      10.30.81.0/24 is directly connected, Vlan101
 C      10.30.82.0/24 is directly connected, Vlan254
 C      10.30.92.0/24 is directly connected, Vlan101
 C      10.30.94.0/30 is directly connected, Vlan902
 C      10.30.94.4/30 is directly connected, Ethernet33
 O      10.30.94.8/30 [110/110] via 10.30.94.2, Vlan902
 O      10.30.94.16/30 [110/1100] via 10.30.94.29, Vlan216
 O      10.30.94.20/30 [110/1010] via 10.30.94.29, Vlan216
 O      10.30.94.24/30 [110/1110] via 10.30.94.29, Vlan216
 C      10.30.94.28/30 is directly connected, Vlan216
 O      10.30.94.32/30 [110/110] via 10.30.94.2, Vlan902
 C      10.30.94.36/30 is directly connected, Vlan224
 C      10.30.95.1/32 is directly connected, Loopback0
 O      10.30.95.2/32 [110/110] via 10.30.94.2, Vlan902
 O      10.30.95.3/32 [110/1010] via 10.30.94.29, Vlan216
 O      10.30.95.4/32 [110/1110] via 10.30.94.29, Vlan216
 C      10.30.95.254/32 is directly connected, Loopback2
 S      10.30.80.0/20 is directly connected, Null0
 O      10.30.140.24/30 [110/68055] via 10.30.94.29, Vlan216
 O      10.30.140.28/30 [110/68055] via 10.30.94.29, Vlan216
 B I    10.30.128.0/20 [200/0] via 10.30.94.2, Vlan902
 O      10.30.158.0/30 [110/1620] via 10.30.94.29, Vlan216
 B I    10.30.144.0/20 [200/0] via 10.30.94.2, Vlan902
 B I    10.30.128.0/18 [200/0] via 10.30.94.29, Vlan216
 B E    10.30.208.0/20 [200/0] via 10.30.94.38, Vlan224
 O      10.31.14.8/30 [110/1130] via 10.30.94.29, Vlan216
 B I    10.31.0.0/20 [200/0] via 10.30.94.29, Vlan216
 O      10.31.78.8/30 [110/1130] via 10.30.94.29, Vlan216
 O      10.31.78.28/30 [110/65655] via 10.30.94.6, Ethernet33
                                   via 10.30.94.2, Vlan902
 B I    10.31.64.0/20 [200/0] via 10.30.94.29, Vlan216
 B I    10.31.80.0/20 [200/0] via 10.30.94.29, Vlan216
 B I    10.31.128.0/20 [200/0] via 10.30.94.2, Vlan902
 B I    10.30.0.0/15 [200/0] via 10.30.94.6, Ethernet33
                             via 10.30.94.2, Vlan902
 O      10.32.53.0/29 [110/1120] via 10.30.94.29, Vlan216
 O E1   10.65.0.50/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.65.0.123/32 [110/21520] via 10.30.94.29, Vlan216
 O E1   10.65.0.128/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.65.2.18/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.65.2.146/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.65.16.25/32 [110/11520] via 10.30.94.29, Vlan216
 O E1   10.65.16.27/32 [110/11520] via 10.30.94.29, Vlan216
 O E1   10.65.16.29/32 [110/11520] via 10.30.94.29, Vlan216
 O E1   10.65.16.30/32 [110/11520] via 10.30.94.29, Vlan216
 O E1   10.65.16.34/32 [110/11520] via 10.30.94.29, Vlan216
 O E1   10.65.16.35/32 [110/11520] via 10.30.94.29, Vlan216
 O E1   10.65.16.130/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.65.16.131/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.65.16.157/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.65.16.158/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.65.16.162/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.65.16.163/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.66.0.74/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.66.0.76/32 [110/11030] via 10.30.94.29, Vlan216
 C      10.70.15.72/30 is directly connected, Ethernet37
 O      10.70.17.80/30 [110/20] via 10.30.94.6, Ethernet33
 O      10.70.18.80/30 [110/120] via 10.30.94.6, Ethernet33
                                 via 10.30.94.2, Vlan902
 O      10.103.2.76/30 [110/2130] via 10.30.94.29, Vlan216
 O      10.103.128.192/28 [110/2220] via 10.30.94.29, Vlan216
 B I    10.103.128.192/27 [200/0] via 10.30.94.29, Vlan216
 O      10.122.203.0/24 [110/110] via 10.30.94.6, Ethernet33
 B I    10.134.0.0/20 [200/0] via 10.30.94.29, Vlan216
 O      10.134.17.48/30 [110/2130] via 10.30.94.29, Vlan216
 O      10.134.17.52/30 [110/2230] via 10.30.94.29, Vlan216
 B I    10.134.17.128/26 [200/0] via 10.30.94.29, Vlan216
